Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000058352	SUCS_NB	EDIFC	_	13030	MXN	01/12/2010	2024	1	12	4455.94
NMP01	000000058353	SUCS_NB	EDIFC	_	13030	MXN	01/12/2010	2024	1	12	526.6
NMP01	000000058354	SUCS_NB	EDIFC	_	13005	MXN	01/12/2010	2024	1	12	13230.9
NMP01	000000058355	SUCS_NB	PREOP	_	13033	MXN	01/10/2011	2024	1	12	11167.87
NMP01	000000058356	SUCS_NB	EDIFC	_	13000	MXN	01/12/2010	2024	1	12	1195
NMP01	000000058357	SUCS_NB	EDIFC	_	13009	MXN	01/12/2010	2024	1	12	4519.94
NMP01	000000058358	SUCS_NB	PREOP	_	13039	MXN	01/10/2011	2024	1	12	5553.53
NMP01	000000058359	SUCS_NB	EDIFC	_	13020	MXN	01/12/2010	2024	1	12	1519.94
NMP01	000000058360	SUCS_NB	EDIFC	_	13020	MXN	01/12/2010	2024	1	12	1026.6
NMP01	000000058361	SUCS_NB	PREOP	_	13036	MXN	01/10/2011	2024	1	12	733.27
NMP01	000000058362	SUCS_NB	EDIFC	_	13000	MXN	01/10/2011	2024	1	12	191.33
NMP01	000000058363	SUCS_NB	EDIFC	_	13012	MXN	01/10/2022	2024	1	12	1259.94
NMP01	000000058364	SUCS_NB	EDIFC	_	13000	MXN	01/12/2010	2024	1	12	66430.81
NMP01	000000058365	SUCS_NB	EDIFC	_	13015	MXN	01/12/2010	2024	1	12	1159.94
NMP01	000000058366	SUCS_NB	EDIFC	_	13022	MXN	01/12/2010	2024	1	12	24575.44
NMP01	000000058367	SUCS_NB	EDIFC	_	13030	MXN	01/12/2010	2024	1	12	21378.44
NMP01	000000058416	SUCS_NB	EDIFC	_	13020	MXN	01/12/2010	2024	1	12	10491.8
NMP01	000000058651	SUCS_NB	EDIFC	_	13011	MXN	01/12/2010	2024	1	12	44886.74
NMP01	000000058652	SUCS_NB	EDIFC	_	13018	MXN	01/12/2010	2024	1	12	37357.77
NMP01	000000058654	SUCS_NB	EDIFC	_	13004	MXN	01/12/2010	2024	1	12	4806.34
